campo	contenido_reconciliado	contenido_pass03	jpg_paginas	contenido_pdf	au_estado	resolucion_disputa
L5_etiqueta	Neun auf fünftem Platz bedeutet:	O Neun auf fünftem Platz bedeutet:	23-27	O Neun auf fünftem Platz bedeutet:	pendiente	diff_zeno
L5_oraculo	Fliegender Drache am Himmel.\nFördernd ist es, den großen Mann zu sehen.	Fliegender Drache am Himmel.\nFördernd ist es, den großen Mann zu sehen.	23-27	Fliegender Drache am Himmel.\nFördernd ist es, den großen Mann zu sehen.	pendiente	coincide_zeno
L5_comentario	Hier ist der große Mann in der Sphäre der Himmlischen angelangt. Sein Einfluß erstreckt sich weithin sichtbar über die ganze Welt. Jeder, der ihn sieht, kann sich selig preisen.\n\nKungtse sagt darüber: »Was im Ton übereinstimmt, schwingt miteinander. Was wahlverwandt ist im innersten Wesen, das  sucht einander. Das Wasser fließt zum Feuchten hin, das Feuer wendet sich dem Trockenen zu. Die Wolken (des Himmels Atem) folgen dem Drachen, der Wind (der Erde Atem) folgt dem Tiger. So erhebt sich der Weise, und alle Wesen blicken nach ihm. Was vom Himmel stammt, fühlt sich verwandt mit dem, was droben ist. Was von der Erde stammt, fühlt sich verwandt mit dem, was drunten ist. Jedes folgt seiner Art.«	Hier ist der große Mann in der Sphäre der Himmlischen angelangt. Sein\nEinfluß erstreckt sich weithin sichtbar über die ganze Welt. Jeder, der ihn\nsieht, kann sich selig preisen.\nKungtse sagt darüber: "Was im Ton übereinstimmt, schwingt miteinander.\nWas wahlverwandt ist im innersten Wesen, das sucht einander. Das Wasser\nfließt zum Feuchten hin, das Feuer wendet sich dem Trockenen zu. Die\nWolken (des Himmels Atem) folgen dem Drachen, der Wind (der Erde Atem)\nfolgt dem Tiger. So erhebt sich der Weise, und alle Wesen blicken nach\nihm. Was vom Himmel stammt, fühlt sich verwandt mit dem, was droben\nist. Was von der Erde stammt, fühlt sich verwandt mit dem, was drunten\nist. Jedes folgt seiner Art."	23-27	Hier ist der große Mann in der Sphäre der Himmlischen angelangt. Sein\nEinfluß erstreckt sich weithin sichtbar über die ganze Welt. Jeder, der ihn\nsieht, kann sich selig preisen.\nKungtse sagt darüber: "Was im Ton übereinstimmt, schwingt miteinander.\nWas wahlverwandt ist im innersten Wesen, das sucht einander. Das Wasser\nfließt zum Feuchten hin, das Feuer wendet sich dem Trockenen zu. Die\nWolken (des Himmels Atem) folgen dem Drachen, der Wind (der Erde Atem)\nfolgt dem Tiger. So erhebt sich der Weise, und alle Wesen blicken nach\nihm. Was vom Himmel stammt, fühlt sich verwandt mit dem, was droben\nist. Was von der Erde stammt, fühlt sich verwandt mit dem, was drunten\nist. Jedes folgt seiner Art."	pendiente	diff_zeno
L6_etiqueta	Oben eine Neun bedeutet:	Oben eine Neun bedeutet:	23-27	Oben eine Neun bedeutet:	pendiente	coincide_zeno
L6_oraculo	Hochmütiger Drache wird zu bereuen haben.	Hochmütiger Drache wird zu bereuen haben.	23-27	Hochmütiger Drache wird zu bereuen haben.	pendiente	coincide_zeno
L6_comentario	Wenn man so hoch emporsteigen will, daß man die Fühlung mit den übrigen Menschen verliert, so wird man vereinsamt, und das führt notwendig zu Mißerfolg. Hier liegt eine Warnung gegen ein titanisches Emporstreben, das über die Kraft geht. Ein Sturz zur Tiefe würde die Folge sein.	Wenn man so hoch emporsteigen will, daß man die Fühlung mit den übrigen\nMenschen verliert, so wird man vereinsamt, und das führt notwendig zu\nMiBerfolg. Hier liegt eine Warnung gegen ein titanisches Emporstreben,\ndas über die Kraft geht. Ein Sturz zur Tiefe würde die Folge sein.	23-27	Wenn man so hoch emporsteigen will, daß man die Fühlung mit den übrigen\nMenschen verliert, so wird man vereinsamt, und das führt notwendig zu\nMiBerfolg. Hier liegt eine Warnung gegen ein titanisches Emporstreben,\ndas über die Kraft geht. Ein Sturz zur Tiefe würde die Folge sein.	pendiente	diff_zeno
yong_etiqueta	Wenn lauter Neunen erscheinen, bedeutet das:	Wenn lauter Neunen erscheinen, bedeutet das:	23-27	Wenn lauter Neunen erscheinen, bedeutet das:	pendiente	coincide_zeno
yong_oraculo	Es erscheint eine Schar von Drachen ohne Haupt. Heil!	Es erscheint eine Schar von Drachen ohne Haupt. Heil!	23-27	Es erscheint eine Schar von Drachen ohne Haupt. Heil!	pendiente	coincide_zeno
yong_comentario	Wenn alle Linien Neunen sind, so kommt das ganze Zeichen in Bewegung und verwandelt sich in das Zeichen Kun, das Empfangende, dessen Charakter die Hingebung ist. Die Stärke des Schöpferischen und die Milde des Empfangenden vereinen sich. Das Starke ist angedeutet durch die Schar der Drachen, das Milde durch den Umstand, daß ihre Häupter verborgen sind. Das bedeutet: Milde in der Handlungsweise verbunden mit Stärke des Entschlusses bringt Heil.	Wenn alle Linien Neunen sind, so kommt das ganze Zeichen in Bewegung\nund verwandelt sich in das Zeichen Kun, das Empfangende, dessen Charakter\ndie Hingebung ist. Die Stärke des Schöpferischen und die Milde des Emp-\nfangenden vereinen sich. Das Starke ist angedeutet durch die Schar der\nDrachen, das Milde durch den Umstand, daß ihre Häupter verborgen sind.\nDas bedeutet: Milde in der Handlungsweise verbunden mit Stärke des Ent-\nschlusses bringt Heil.\n坤	23-27	Wenn alle Linien Neunen sind, so kommt das ganze Zeichen in Bewegung\nund verwandelt sich in das Zeichen Kun, das Empfangende, dessen Charakter\ndie Hingebung ist. Die Stärke des Schöpferischen und die Milde des Emp-\nfangenden vereinen sich. Das Starke ist angedeutet durch die Schar der\nDrachen, das Milde durch den Umstand, daß ihre Häupter verborgen sind.\nDas bedeutet: Milde in der Handlungsweise verbunden mit Stärke des Ent-\nschlusses bringt Heil.\n坤	pendiente	diff_zeno
hex_fin	1					
